,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
3066,3066,0,6,5,0,1200,0,700000,4,5,3
3067,3067,0,7,5,0,1400,0,2400000,13,6,4
3068,3068,0,8,5,0,1800,0,950000,3,6,8
3069,3069,0,9,5,0,1400,0,950000,3,9,2
3070,3070,0,10,5,0,1600,0,1400000,2,2,14
3071,3071,0,1,0,0,1600,1,540000,5,10,13
3072,3072,0,2,0,0,1200,1,540000,5,12,6
3073,3073,0,3,0,0,1800,1,700000,4,1,4
3074,3074,0,4,0,0,1200,1,700000,4,12,11
3075,3075,0,5,0,0,1200,1,700000,4,5,1
3076,3076,0,6,0,0,1400,1,700000,4,11,10
3077,3077,0,7,0,0,1600,1,950000,3,4,3
3078,3078,0,8,0,0,1200,1,950000,3,10,2
3079,3079,0,9,0,0,1200,1,1400000,2,1,6
3080,3080,0,10,0,0,1400,1,950000,3,10,6
3081,3081,1,1,0,0,1650,1,540000,5,1,7
3082,3082,1,2,0,0,1000,1,700000,4,11,3
3083,3083,1,3,0,0,1200,1,700000,4,10,7
3084,3084,1,4,0,0,1650,1,700000,4,6,8
3085,3085,1,5,0,0,1800,1,950000,3,1,10
3086,3086,1,6,0,0,1200,1,950000,3,8,1
3087,3087,1,7,0,0,1650,1,950000,3,6,1
3088,3088,1,8,0,0,1650,1,1400000,2,10,9
3089,3089,0,1,1,0,1800,0,540000,5,7,14
3090,3090,0,2,1,0,1000,0,700000,4,2,10
3091,3091,0,3,1,0,1600,0,950000,3,2,4
3092,3092,0,4,1,0,1600,0,700000,4,12,3
3093,3093,0,5,1,0,1200,0,700000,4,5,12
3094,3094,0,6,1,0,1400,0,700000,4,10,12
3095,3095,0,7,1,0,1200,0,950000,3,4,14
3096,3096,0,8,1,0,1400,0,950000,3,1,9
3097,3097,0,9,1,0,1800,0,2400000,13,4,2
3098,3098,0,10,1,0,1400,0,1400000,2,9,13
3099,3099,0,1,0,1,1650,1,700000,4,1,7
3100,3100,0,2,0,1,1200,1,700000,4,3,7
3101,3101,0,3,0,1,1200,1,700000,4,9,3
3102,3102,0,4,0,1,1650,1,540000,5,5,13
3103,3103,0,5,0,1,1200,1,950000,3,3,12
